annotator,conclusion_id,conclusion_sentence,conclusion,premise_1_id,premise_1_sentence,premise_1,premise_2_id,premise_2_sentence,premise_2,premise_3_id,premise_3_sentence,premise_3,premise_4_id,premise_4_sentence,premise_4,premise_5_id,premise_5_sentence,premise_5,premise_6_id,premise_6_sentence,premise_6,premise_7_id,premise_7_sentence,premise_7,premise_8_id,premise_8_sentence,premise_8
ZP,3,"Nic też nie jest lepszym sposobem na podniesienie oglądalności niż wywołać temat aborcji i zaprosić do studia dżentelmenów, którzy chwycą się za łby.",Temat aborcji podnosi oglądalność.,2,"Nic nie wywołuje takich emocji, nic nie wywołuje takich sporów.",Temat aborcji wywołuje ogromne emocje i spory.,3,"Nic też nie jest lepszym sposobem na podniesienie oglądalności niż wywołać temat aborcji i zaprosić do studia dżentelmenów, którzy chwycą się za łby.",Widzowie lubią oglądać i słuchać emocjonujących dyskusji.,,,,,,,,,,,,,,,,,,
ZP,6,"Nie, nie dlatego, żebyśmy chcieli chyba państwa przekonać, bo nie sądzę, by ktoś pod wpływem debaty o aborcji zmienił swoje zdanie, ale może po to, żeby skonfrontować się z innymi poglądami.",Chcę żeby słuchacze mogli skonfrontować się z innymi poglądami.,5,"Chciałbym dokonać za pomocą moich gości pewnego cudu, to znaczy porozmawiać o aborcji i nie pozabijać się, żeby nie polała się krew.",Chcę przeprowadzić debatę o aborcji.,,,,,,,,,,,,,,,,,,,,,
DZ,36,"Dobrze, odpowiadam krótko: nie.",Aborcja na życzenie do dwunastego tygodnia ciąży nie powinna być legalna.,38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.","Mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.",39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Nastąpił rozwój technik wizualizacji, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy.",,,,,,,,,,,,,,,,,,
KW,36,"Dobrze, odpowiadam krótko: nie.",Nie jestem za legalną aborcji na życzenie do dwunastego tygodnia życia,38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.","Mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.",39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się. ",,,,,,,,,,,,,,,,,,
ZP,36,"Dobrze, odpowiadam krótko: nie.",Nie jestem za aborcją.,38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.",Podczas 46 lat pracy jako lekarz przeżyłam szereg sytucji związanych z aborcją.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach było konieczne.",39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Rrozwój technik wizualizacji innych sprawił, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów.",,,,,,,,,,,,,,,
HŁ,36,"Dobrze, odpowiadam krótko: nie.",Nie jestem za legalną aborcją na życzenie od dwunastego tygodnia ciąży,38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.",Mam doświadczenia związane z aborcją.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.",Zobaczyłam jak rozwija się płód.,,,,,,,,,,,,,,,,,,
MI,36,"Dobrze, odpowiadam krótko: nie.",Aborcja na życzenie do 12 tygodnia nie powinna być legalna.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Rozwój technik wizualizacji, które ukazały mi, jak rozwija się płód w macicy, zmienił moje postrzeganie tego procesu.",,,,,,,,,,,,,,,,,,,,,
WG,36,"Dobrze, odpowiadam krótko: nie.",Aborcja na życzenie do dwunastego tygodnia ciąży nie powinna być legalna.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Rozwój technik wizualizacji sprawił, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy.",38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.","Mając czterdzieści sześć lat pracy, przeżyłam szereg sytuacji związanych z aborcją.",,,,,,,,,,,,,,,,,,
ZP,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.",Nie wykonuję już zabiegów aborcji.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Wykonywałam kiedyś zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne.",39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.","Rrozwój technik wizualizacji innych sprawił, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się.",,,,,,,,,,,,,,,,,,
ZP,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.",Wykonywałam zabiegi przerwania ciąży.,39,"Ja również — nie, absolutnie nie wypieram się, że wykonywałam zabiegi przerwania ciąży, bo to w tamtych czasach to było konieczne, ale równocześnie rozwój technik wizualizacji innych, które sprawiły, że zobaczyliśmy, jak rozwija się dziecko czy płód w macicy, wszystko to sprawiło, że ja zablokowałam się i absolutnie, muszę powiedzieć, że od pewnego momentu nie wykonywałam zabiegów i równocześnie te zabiegi były oczywiście robione w tych szpitalach, w których ja pracowałam, ale ja w nich nie uczestniczyłam.",Kiedyś wykonywanie aborcji było koniecznością.,,,,,,,,,,,,,,,,,,,,,
