speaker_id,sentence_id,sentence,is_question
1,1,Dobry wieczór.,0
1,2,"Nic nie wywołuje takich emocji, nic nie wywołuje takich sporów.",0
1,3,"Nic też nie jest lepszym sposobem na podniesienie oglądalności niż wywołać temat aborcji i zaprosić do studia dżentelmenów, którzy chwycą się za łby.",0
1,4,No więc postanowiliśmy odejść trochę od tego pomysłu.,0
1,5,"Chciałbym dokonać za pomocą moich gości pewnego cudu, to znaczy porozmawiać o aborcji i nie pozabijać się, żeby nie polała się krew.",0
1,6,"Nie, nie dlatego, żebyśmy chcieli chyba państwa przekonać, bo nie sądzę, by ktoś pod wpływem debaty o aborcji zmienił swoje zdanie, ale może po to, żeby skonfrontować się z innymi poglądami.",0
1,7,I jeszcze jedno.,0
1,8,"Nie, nie uważam, że aborcja to sprawa wyłącznie kobiet.",0
1,9,"Tak samo jak nie uważam, że aborcja to sprawa wyłącznie polityków, ale tak się złożyło, że do nas, do naszego studia zaprosiliśmy cztery panie.",0
1,10,"Ale nie dlatego, że są kobietami, tylko dlatego, że są fachowcami i że się na tym znają.",0
1,11,Mamy więc dwie lekarki: pani profesor Ewa Dmoch-Gajzlerska.,0
2,12,Witam serdecznie.,0
1,13,Pani doktor Anna Orawiec.,0
3,14,Witam.,0
1,15,"Powiedziałem dwie lekarki — to nieprawda, bo jedna z posłanek, była minister zdrowia też jest lekarką — pani Katarzyna Sójka.",0
1,16,Dzień dobry.,0
4,17,Dobry wieczór.,0
1,18,"I pani Anna Maria Żukowska, szefowa Klubu Lewicy, też rzecz jasna posłanka.",0
5,19,"Która jest prawniczką, a to też jest aspekt prawny.",0
5,20,Także…,0
1,21,…Która zdecydowanie jest prawniczką i…,0
5,22,…dołożę swoje uwagi.,0
5,23,"Dobry wieczór, państwu.",0
1,24,"Zacznijmy, proszę państwa, od najprostszego pytania na świecie, tego pytania, które, na które państwo również będą mogli odpowiedzieć w bardzo skróconej formie, odpowiadając: tak czy nie.",0
1,25,"A mianowicie od pytania, czy są panie za legalną aborcją na życzenie od dwunastego tygodnia ciąży.",0
1,26,I może zacznijmy…,0
5,27,…Do.,0
3,28,Do dwunastego.,0
1,29,Do dwunastego.,0
5,30,Od razu…,0
1,31,"Przepraszam, to byłby hardkor od dwunastego.",0
1,32,Rzeczywiście — do dwunastego tygodnia ciąży.,0
1,33,"Myślę, że wszyscy wiedzą, o co chodzi i dajcie się człowiekowi przejęzyczyć, drodzy państwo.",0
1,34,Może zacznijmy od pań ekspertek.,0
1,35,Pani profesor Ewa Dmoch-Gajzlerska.,0
2,36,"Dobrze, odpowiadam krótko: nie.",0
1,37,A dlaczego?,1
2,38,"Dlatego, że ja, mając czterdzieści sześć lat pracy, już przeżyłam szereg sytuacji związanych z aborcją.",0
