question_id,warunek_a,warunek_b,warunek_c,warunek_d
37,1,1,1,1
40,1,0,0,1
51,1,1,0,0
57,0,0,1,1
67,1,1,1,1
72,1,1,0,0
73,1,1,1,1
81,1,0,0,0
88,1,0,0,0
89,1,1,0,0
109,1,0,0,1
112,1,1,1,1
119,1,0,0,0
121,1,1,1,1
127,1,1,1,1
130,1,1,1,0
157,1,0,0,0
165,1,0,0,1
166,1,1,1,1
169,1,1,0,0
175,1,1,1,0
176,1,1,1,1
182,1,1,0,0
190,1,0,0,0
212,1,0,0,0
214,1,1,1,1
218,1,0,0,0
220,1,0,0,0
222,1,1,1,1
243,1,0,0,0
252,1,0,0,0
255,1,1,1,1
256,1,1,1,1
258,1,0,0,0
298,1,1,1,1
302,1,1,1,0
308,1,1,1,0
318,1,1,1,1
322,1,1,1,1
323,1,0,0,0
324,1,0,0,0
325,1,0,0,0
332,1,1,0,1
333,1,0,0,0
334,1,0,0,0
336,1,1,1,1
338,1,1,1,1
366,1,0,0,0
367,1,0,0,0
376,1,0,0,0
381,1,1,0,0
384,0,0,0,1
386,1,1,1,0
394,1,0,0,1
396,1,1,0,0
406,1,1,1,1
412,0,1,0,1
435,1,1,1,1
445,1,1,1,1
450,1,1,1,0
452,0,1,0,1
455,1,0,0,1
462,1,0,0,0
463,0,0,0,0
464,1,1,1,1
465,0,0,0,1
467,1,1,1,1
487,0,1,0,1
491,1,1,1,1
496,1,0,0,0
497,1,0,0,0
502,1,0,0,1
512,1,1,1,1
513,1,1,1,1
532,1,1,1,1
533,1,0,0,0
534,1,1,1,0
536,1,0,0,1
537,1,0,0,0
543,1,0,0,0
550,0,1,1,1
559,1,1,1,0
564,1,1,1,1
565,1,1,1,1
571,1,0,0,0
581,1,1,0,1
582,1,1,1,0
589,1,0,0,0
602,1,1,1,1
603,1,0,0,1
609,1,1,1,1
616,1,0,0,0
620,1,0,0,1
622,1,1,1,1
632,1,1,1,1
670,1,0,0,1
671,1,1,1,1
679,1,1,1,1
689,1,1,1,1
692,1,0,0,0
693,1,0,0,0
726,1,0,0,0
732,1,0,0,0
739,1,1,0,0
772,1,1,1,1
776,1,1,1,0
782,1,0,0,0
785,1,0,0,0
805,1,1,1,1
809,1,1,1,0
820,1,0,0,1
827,1,1,1,1
888,1,0,0,0
911,1,1,1,1
916,1,0,0,0
923,1,1,1,1
924,0,0,0,1
926,1,1,1,1
927,1,1,1,1
928,1,1,1,0
932,1,1,1,1
934,1,0,0,1
935,1,0,0,1
937,1,0,0,1
939,1,0,0,0
941,1,1,1,0
946,1,1,1,1
958,1,1,1,1
959,1,0,0,1
961,1,1,0,1
962,1,1,1,1
963,1,1,1,1
964,1,0,0,0
969,1,0,0,0
970,1,0,0,0
971,1,1,1,1
975,1,1,1,0
987,1,0,0,0
995,1,1,1,1
1015,1,1,1,1
1025,1,1,0,0
1027,1,1,1,1
1034,1,1,1,1
1035,1,1,1,1
1038,1,0,0,0
1045,1,0,0,0
1046,1,0,0,0
1062,1,1,1,0
1072,1,1,1,1
1082,1,0,1,1
1095,1,1,1,1
1101,0,1,1,1
1105,0,0,1,1
1107,1,1,1,1
1110,1,1,1,1
1118,1,0,0,0
1122,1,1,1,1
1130,1,0,0,1
1138,1,0,0,0
1149,1,1,1,0
1152,1,0,0,1
1157,0,0,0,1
1163,1,1,0,0
1164,1,1,1,0
1167,1,1,1,1
1177,1,0,0,0
1183,1,1,0,0
1189,1,0,0,0
1202,1,0,0,0
1205,1,1,1,0
1232,1,0,0,0
1260,1,0,0,0
1261,1,0,0,0
1288,1,0,0,1
1289,1,1,1,1
1291,1,0,0,0
1292,1,0,0,0
1295,1,0,0,0
1301,0,1,1,1
1302,1,1,1,1
1318,1,1,1,0
1324,1,0,0,0
1325,1,0,0,0
1329,0,1,1,1
1330,1,1,1,1
1331,1,1,1,0
1341,1,0,0,0
1347,1,0,0,0
1348,0,1,1,1
1351,1,1,1,0
1366,1,0,0,1
1367,1,1,1,1
1370,1,1,1,1
1376,1,1,1,1
1378,1,1,1,1
1385,1,1,1,1
1393,0,1,1,1
1399,1,1,1,1
1404,1,0,0,0
1410,1,1,1,1
1413,1,0,0,0
1424,1,1,0,1
1428,1,0,0,0
1430,1,1,1,1
1431,0,1,0,1
1437,1,1,1,0
1441,1,0,0,0
1462,1,1,1,1
1464,1,1,1,1
1474,0,1,1,1
1484,0,0,0,1
1486,0,1,1,1
1491,0,1,1,1
1504,1,1,1,1
1512,1,1,1,1
1521,1,0,0,0
1541,1,1,1,1
1545,1,0,0,0
1550,1,0,0,0
1553,1,0,0,1
1566,1,1,1,1
1571,1,1,1,1
1577,0,1,0,0
1580,1,0,0,1
1610,1,0,0,0
1611,1,1,1,0
